Date,Time of Day,Day of Week,Latitude,Longitude,Neighborhood,Safety Index,Population Density,Median Income,Crime Type,Severity Score,Past Crime Density,Arrest Made,Temperature,Visibility,Event,Location Type,Unemployment Rate,Actions Taken,Police Station Proximity (km),Surveillance Cameras,Public Transport Score
2024-05-10,Afternoon,Friday,41.8781,-87.6298,Urban,5,15000,55000,Burglary,2,35,0,8.138410465084394,Foggy,None,Highways,11.722030288254981,8,7.368618385559271,9,9
2024-07-05,Afternoon,Friday,40.7128,-74.006,Downtown,3,25000,60000,Robbery,8,42,1,15.112166771881764,Foggy,None,Highways,9.604235820544908,2,7.879265461121133,19,10
2024-02-11,Morning,Sunday,29.7604,-95.3698,Industrial,4,10000,50000,Robbery,8,28,0,32.06371678175012,Foggy,None,Residential,7.676861801889231,1,2.1400960692091933,16,3
2024-11-01,Afternoon,Friday,40.7128,-74.006,Downtown,3,25000,60000,Theft,8,36,0,31.60376668043088,Foggy,None,Residential,5.6299110991857795,8,7.885457649466721,19,2
2024-08-07,Afternoon,Wednesday,29.7604,-95.3698,Industrial,4,10000,50000,Burglary,5,40,1,7.267942805430682,Rainy,None,Highways,5.365981983534011,6,2.6064098752318925,13,5
2024-08-28,Night,Wednesday,40.7128,-74.006,Downtown,3,25000,60000,Burglary,2,5,0,19.70900151456607,Rainy,None,Highways,8.386447013894427,4,0.903440183754305,14,3
2024-01-16,Morning,Tuesday,40.7128,-74.006,Downtown,3,25000,60000,Vandalism,9,34,0,-1.4275507431195145,Foggy,None,Residential,5.034635831143382,1,1.227046206308716,7,1
2024-09-22,Night,Sunday,40.7128,-74.006,Downtown,3,25000,60000,Vandalism,1,31,0,2.5257326060606244,Clear,None,Parks,8.766257651780435,8,7.607584082946969,2,2
2024-04-21,Morning,Sunday,40.7128,-74.006,Downtown,3,25000,60000,Fraud,8,31,1,20.15711604657879,Rainy,None,Parks,7.495730925527527,5,1.5697675330765402,3,6
2024-07-26,Morning,Friday,29.7604,-95.3698,Industrial,4,10000,50000,Robbery,9,22,1,33.37343025887045,Rainy,None,Commercial,6.819686955836454,7,6.846639096874085,16,4
2024-09-21,Evening,Saturday,41.8781,-87.6298,Urban,5,15000,55000,Robbery,3,43,0,26.48626719763621,Rainy,None,Residential,7.661553214501751,7,7.514260123515623,12,8
2024-08-14,Evening,Wednesday,34.0522,-118.2437,Suburban,7,5000,75000,Vandalism,2,16,1,11.667265846522284,Rainy,None,Parks,3.3814572480256597,4,5.824658647496105,10,10
2024-09-26,Morning,Thursday,29.7604,-95.3698,Industrial,4,10000,50000,Assault,5,0,0,23.564661350481423,Clear,None,Commercial,7.846113189216922,9,6.8912072220649225,4,10
2024-03-15,Morning,Friday,40.7128,-74.006,Downtown,3,25000,60000,Assault,4,37,0,34.15100405259249,Foggy,None,Highways,7.204017675375355,9,9.386265168219579,10,6
2024-04-22,Afternoon,Monday,41.8781,-87.6298,Urban,5,15000,55000,Theft,5,19,0,6.303652579883131,Foggy,None,Residential,7.2171235178850965,0,7.203788502328198,13,10
2024-06-20,Night,Thursday,41.8781,-87.6298,Urban,5,15000,55000,Robbery,5,19,1,-1.1461602962832584,Foggy,None,Residential,10.865297450606855,8,1.9901424786178934,14,3
2024-09-15,Evening,Sunday,40.7128,-74.006,Downtown,3,25000,60000,Assault,3,10,0,3.6675459739320218,Clear,None,Residential,7.442983241701764,8,7.516028575559687,19,1
2024-06-05,Afternoon,Wednesday,29.7604,-95.3698,Industrial,4,10000,50000,Burglary,8,8,0,19.622692283281214,Foggy,None,Commercial,7.275229133474763,8,3.2985893882427537,3,7
2024-03-29,Night,Friday,34.0522,-118.2437,Suburban,7,5000,75000,Robbery,6,24,0,16.80209824547232,Rainy,None,Parks,5.289845671953828,5,0.8374190770362332,2,3
2024-10-04,Morning,Friday,29.7604,-95.3698,Industrial,4,10000,50000,Theft,1,3,0,-1.1436911182584009,Rainy,None,Residential,7.04915043299515,7,9.189488194913796,7,5
2024-07-27,Evening,Saturday,34.0522,-118.2437,Suburban,7,5000,75000,Theft,8,26,0,0.23160231347735039,Clear,None,Commercial,3.1892183089179316,0,5.902804922871922,10,6
2024-01-25,Afternoon,Thursday,41.8781,-87.6298,Urban,5,15000,55000,Fraud,2,37,1,12.623904439158217,Clear,None,Commercial,11.055737169832891,2,6.463988496540352,10,4
2024-05-03,Night,Friday,34.0522,-118.2437,Suburban,7,5000,75000,Theft,2,22,1,4.510794604593112,Foggy,None,Residential,3.9440282427179647,4,6.93185534008668,3,3
2024-09-01,Morning,Sunday,29.7604,-95.3698,Industrial,4,10000,50000,Theft,6,21,0,21.277283451857343,Rainy,None,Highways,6.412584976019195,10,4.654010450158732,14,10
2024-01-24,Morning,Wednesday,29.7604,-95.3698,Industrial,4,10000,50000,Robbery,9,17,0,29.227804778075274,Clear,None,Commercial,7.257101675515247,0,4.498587292780245,8,7
2024-03-01,Morning,Friday,41.8781,-87.6298,Urban,5,15000,55000,Vandalism,3,4,0,11.744029297612869,Rainy,None,Parks,6.433779772907911,9,1.7081882954480474,2,10
2024-01-29,Morning,Monday,41.8781,-87.6298,Urban,5,15000,55000,Burglary,1,46,1,26.3743380632585,Clear,None,Parks,8.146095634160831,9,4.572232170755664,15,5
2024-07-12,Night,Friday,34.0522,-118.2437,Suburban,7,5000,75000,Burglary,7,6,0,17.867413064285955,Rainy,None,Commercial,3.3492426449592023,10,8.839088479300655,5,2
2024-08-10,Morning,Saturday,29.7604,-95.3698,Industrial,4,10000,50000,Fraud,6,18,0,18.229328656200234,Rainy,None,Parks,6.552913545429021,6,5.633389329231449,15,8
2024-07-31,Morning,Wednesday,40.7128,-74.006,Downtown,3,25000,60000,Fraud,5,43,0,34.29921652779081,Foggy,None,Parks,8.541026942822946,9,7.9408054743314525,10,7
2024-03-23,Night,Saturday,41.8781,-87.6298,Urban,5,15000,55000,Assault,7,42,1,20.604940380007967,Foggy,None,Residential,6.73123411738831,3,7.892688965383609,2,4
2024-12-20,Morning,Friday,40.7128,-74.006,Downtown,3,25000,60000,Vandalism,3,13,0,11.148839134807925,Clear,None,Commercial,7.362994463777808,0,0.24925272084600397,6,8
2024-03-24,Morning,Sunday,34.0522,-118.2437,Suburban,7,5000,75000,Theft,5,40,1,15.174302607656003,Clear,None,Commercial,5.879001997753656,9,4.518091569862367,3,3
2024-02-29,Morning,Thursday,29.7604,-95.3698,Industrial,4,10000,50000,Robbery,2,3,0,22.76026779299826,Foggy,None,Commercial,7.622641418910119,6,1.45864318027734,4,6
2024-11-27,Morning,Wednesday,29.7604,-95.3698,Industrial,4,10000,50000,Theft,8,6,0,11.818711261279134,Foggy,None,Highways,6.134402691084468,7,6.406066022921949,7,6
2024-07-07,Evening,Sunday,34.0522,-118.2437,Suburban,7,5000,75000,Assault,4,40,1,10.008355632813082,Clear,None,Parks,5.718411157757442,6,8.86000660604755,0,2
2024-08-03,Afternoon,Saturday,29.7604,-95.3698,Industrial,4,10000,50000,Burglary,5,43,0,0.4669479318613279,Clear,None,Residential,5.289732308265458,3,4.230354057199866,12,7
2024-02-23,Morning,Friday,40.7128,-74.006,Downtown,3,25000,60000,Robbery,8,4,0,16.092726675696895,Clear,None,Commercial,7.630367096021995,5,5.021338051023488,8,9
2024-10-15,Morning,Tuesday,34.0522,-118.2437,Suburban,7,5000,75000,Robbery,6,14,0,13.12728602957327,Rainy,None,Highways,5.477472905079783,3,5.855161957628107,12,6
2024-01-28,Morning,Sunday,41.8781,-87.6298,Urban,5,15000,55000,Fraud,8,17,0,15.762042015506346,Foggy,None,Parks,10.994853018892691,4,0.6383777446320236,17,8
2024-03-09,Evening,Saturday,29.7604,-95.3698,Industrial,4,10000,50000,Robbery,8,9,0,8.809612481830605,Rainy,None,Parks,6.370190414561446,9,3.6278728830375644,3,7
2024-05-22,Afternoon,Wednesday,40.7128,-74.006,Downtown,3,25000,60000,Robbery,3,4,0,12.339442972117904,Rainy,None,Residential,9.301245371789317,3,4.796226582584484,14,4
2024-09-20,Morning,Friday,29.7604,-95.3698,Industrial,4,10000,50000,Assault,5,44,0,11.431441278907258,Clear,None,Parks,6.545348255455368,9,0.9828859530075292,4,3
2024-03-10,Afternoon,Sunday,34.0522,-118.2437,Suburban,7,5000,75000,Assault,8,15,1,30.346215099750793,Foggy,None,Parks,5.0536723591633335,6,7.234742726355992,14,7
2024-02-08,Afternoon,Thursday,41.8781,-87.6298,Urban,5,15000,55000,Theft,1,19,0,29.646380377391644,Foggy,None,Highways,6.130781053586902,5,6.197586648827087,2,10
2024-01-24,Afternoon,Wednesday,29.7604,-95.3698,Industrial,4,10000,50000,Theft,4,24,0,10.781278437840385,Foggy,None,Parks,4.194318661574238,10,3.478481483930739,19,1
2024-07-14,Night,Sunday,29.7604,-95.3698,Industrial,4,10000,50000,Fraud,8,18,0,7.827617969454202,Clear,None,Parks,4.663770166580253,9,7.099541325367202,8,4
2024-07-24,Night,Wednesday,40.7128,-74.006,Downtown,3,25000,60000,Assault,6,49,0,7.64100398671086,Foggy,None,Parks,5.163296071914232,5,7.198126460078876,17,1
2024-12-19,Morning,Thursday,29.7604,-95.3698,Industrial,4,10000,50000,Vandalism,9,27,0,9.306169926062333,Rainy,None,Residential,5.015365810450005,2,8.736789107584956,5,3
2024-04-24,Evening,Wednesday,41.8781,-87.6298,Urban,5,15000,55000,Assault,8,17,0,28.840013300735954,Clear,None,Highways,9.915075760631499,0,3.7165838865877343,0,10
2024-01-24,Evening,Wednesday,34.0522,-118.2437,Suburban,7,5000,75000,Theft,3,43,0,23.993082096286575,Foggy,None,Highways,4.340291961656511,2,4.660355712265621,0,8
2024-12-10,Afternoon,Tuesday,29.7604,-95.3698,Industrial,4,10000,50000,Burglary,5,49,1,5.934781263919486,Rainy,None,Residential,6.405621377209566,10,4.134941069978762,18,9
2024-03-18,Morning,Monday,29.7604,-95.3698,Industrial,4,10000,50000,Burglary,6,14,0,-1.2739747548828984,Rainy,None,Highways,6.225522277052752,4,1.3076567507681798,0,8
2024-07-13,Evening,Saturday,34.0522,-118.2437,Suburban,7,5000,75000,Fraud,3,8,0,25.85190492930128,Clear,None,Residential,5.106178304548153,2,1.798981927194351,7,5
2024-07-25,Evening,Thursday,29.7604,-95.3698,Industrial,4,10000,50000,Burglary,8,26,0,10.618792169098699,Rainy,None,Highways,6.912807132266597,8,9.010046988620733,16,9
2024-02-15,Morning,Thursday,34.0522,-118.2437,Suburban,7,5000,75000,Assault,1,29,0,16.56172795414713,Clear,None,Commercial,3.997067551584301,7,6.871759582280416,9,4
2024-04-29,Night,Monday,40.7128,-74.006,Downtown,3,25000,60000,Assault,4,17,0,15.571196574577076,Rainy,None,Commercial,6.588688006166363,7,7.5112193997173975,18,5
2024-08-29,Night,Thursday,40.7128,-74.006,Downtown,3,25000,60000,Burglary,6,39,0,29.640248671031614,Foggy,None,Highways,9.728840686274445,6,7.543306479046492,5,10
2024-10-30,Night,Wednesday,40.7128,-74.006,Downtown,3,25000,60000,Assault,5,27,0,14.212949877564416,Rainy,None,Residential,8.431446004400485,10,5.028523894337837,18,4
2024-10-02,Afternoon,Wednesday,40.7128,-74.006,Downtown,3,25000,60000,Burglary,8,26,1,15.089297556997316,Clear,None,Residential,6.964407166215163,8,7.134218741288541,8,2
2024-08-04,Evening,Sunday,41.8781,-87.6298,Urban,5,15000,55000,Fraud,2,34,0,34.77051192594944,Clear,None,Residential,6.953003431129151,10,1.3143744613682609,18,2
2024-10-06,Evening,Sunday,34.0522,-118.2437,Suburban,7,5000,75000,Vandalism,4,15,0,26.387785712753047,Rainy,None,Commercial,5.056352316860366,4,0.19902371416680875,5,1
2024-04-29,Night,Monday,41.8781,-87.6298,Urban,5,15000,55000,Burglary,8,20,0,26.478727719675376,Clear,None,Commercial,8.295282874763314,10,8.889782845099132,15,1
2024-12-14,Night,Saturday,41.8781,-87.6298,Urban,5,15000,55000,Robbery,8,37,0,31.986732792755028,Rainy,None,Residential,11.09238035736128,8,9.40275218371058,14,10
2024-12-23,Evening,Monday,34.0522,-118.2437,Suburban,7,5000,75000,Burglary,9,35,0,31.895754082309814,Clear,None,Highways,4.401754480829826,4,3.081600581132351,0,4
2024-02-18,Evening,Sunday,29.7604,-95.3698,Industrial,4,10000,50000,Assault,6,44,0,17.75602332779026,Clear,None,Parks,5.038231597702971,8,5.015745453870721,19,1
2024-06-07,Night,Friday,34.0522,-118.2437,Suburban,7,5000,75000,Vandalism,7,25,0,3.804430087870255,Clear,None,Commercial,3.6322317180353823,0,8.985137797762857,2,9
2024-02-27,Afternoon,Tuesday,29.7604,-95.3698,Industrial,4,10000,50000,Assault,8,19,1,16.629311806369387,Rainy,None,Parks,5.131604172470986,2,0.518065206428718,3,10
2024-11-18,Evening,Monday,29.7604,-95.3698,Industrial,4,10000,50000,Assault,3,38,0,-1.5062080222318963,Rainy,None,Commercial,7.66822249469983,7,7.424513383024703,8,1
2024-05-30,Afternoon,Thursday,34.0522,-118.2437,Suburban,7,5000,75000,Fraud,2,1,0,0.33065041933063366,Clear,None,Residential,4.378136141511952,6,0.25757423345477765,1,3
2024-11-20,Afternoon,Wednesday,41.8781,-87.6298,Urban,5,15000,55000,Theft,9,31,1,1.258221001790485,Foggy,None,Commercial,9.712654795433437,6,8.306592612853176,3,9
2024-05-15,Evening,Wednesday,40.7128,-74.006,Downtown,3,25000,60000,Robbery,6,22,1,16.644461743568947,Clear,None,Highways,5.759453081287262,3,9.529977796655555,14,7
2024-10-11,Evening,Friday,41.8781,-87.6298,Urban,5,15000,55000,Vandalism,1,29,1,24.113709981017813,Clear,None,Commercial,9.661623169078096,4,4.294115430525287,4,5
2024-11-23,Evening,Saturday,41.8781,-87.6298,Urban,5,15000,55000,Theft,2,21,1,16.5991909641414,Foggy,None,Residential,8.032745342693019,9,7.367880600345585,6,1
2024-09-04,Evening,Wednesday,40.7128,-74.006,Downtown,3,25000,60000,Burglary,3,47,0,26.034014803214916,Clear,None,Residential,5.2558464802151565,1,6.148155242469488,2,5
2024-04-26,Night,Friday,41.8781,-87.6298,Urban,5,15000,55000,Burglary,1,18,1,30.356709827306958,Foggy,None,Parks,6.775961096616853,6,1.9648525456964594,8,5
2024-01-13,Evening,Saturday,40.7128,-74.006,Downtown,3,25000,60000,Fraud,1,34,1,2.0159517371801527,Clear,None,Highways,9.58521630539119,10,6.281730760417804,14,10
2024-09-25,Evening,Wednesday,34.0522,-118.2437,Suburban,7,5000,75000,Vandalism,2,46,0,16.044893388992744,Foggy,None,Parks,3.8174313567437883,3,4.761494105007396,4,10
2024-10-19,Night,Saturday,40.7128,-74.006,Downtown,3,25000,60000,Robbery,2,44,0,28.59459758589545,Clear,None,Commercial,9.007698872552233,2,6.640548425720585,18,2
2024-07-10,Evening,Wednesday,34.0522,-118.2437,Suburban,7,5000,75000,Fraud,9,41,0,11.61043847560137,Rainy,None,Highways,5.453373115362412,3,5.379608236661298,8,6
2024-05-30,Afternoon,Thursday,34.0522,-118.2437,Suburban,7,5000,75000,Robbery,3,15,0,0.5039758054565002,Rainy,None,Residential,4.578842346832586,8,1.7960144032867238,11,1
2024-08-04,Morning,Sunday,40.7128,-74.006,Downtown,3,25000,60000,Assault,8,42,0,17.732425132310013,Rainy,None,Commercial,9.163223534185658,4,9.395320223545419,3,10
2024-01-23,Morning,Tuesday,41.8781,-87.6298,Urban,5,15000,55000,Theft,4,20,1,6.108716016829474,Foggy,None,Residential,9.974612538508895,9,8.683676400720026,0,6
2024-09-18,Afternoon,Wednesday,41.8781,-87.6298,Urban,5,15000,55000,Burglary,4,5,0,9.767096396025853,Foggy,None,Commercial,7.644826406993424,9,9.840168681876529,11,7
2024-05-04,Evening,Saturday,34.0522,-118.2437,Suburban,7,5000,75000,Theft,5,44,0,4.850668348022893,Foggy,None,Parks,5.749941147840586,5,8.73123108250452,8,2
2024-03-22,Morning,Friday,34.0522,-118.2437,Suburban,7,5000,75000,Robbery,2,18,0,2.1229976550611163,Foggy,None,Residential,5.133263971439597,2,7.843926977982116,16,3
2024-10-27,Afternoon,Sunday,40.7128,-74.006,Downtown,3,25000,60000,Fraud,8,3,0,12.050782753203784,Foggy,None,Residential,6.862403698927517,2,0.7205269447015702,2,8
2024-08-06,Evening,Tuesday,40.7128,-74.006,Downtown,3,25000,60000,Fraud,9,42,0,26.4668779210724,Rainy,None,Residential,9.577747478304733,9,6.606616481476814,2,10
2024-07-22,Morning,Monday,29.7604,-95.3698,Industrial,4,10000,50000,Burglary,3,46,1,27.222956091040203,Foggy,None,Highways,4.105743562172947,10,3.903354859872365,11,5
2024-09-29,Evening,Sunday,34.0522,-118.2437,Suburban,7,5000,75000,Fraud,1,44,0,29.038400261021188,Foggy,None,Highways,3.9116989634178987,9,6.168496521785926,19,4
2024-01-17,Night,Wednesday,41.8781,-87.6298,Urban,5,15000,55000,Theft,9,43,0,17.241615421846177,Foggy,None,Parks,11.821750911035073,1,4.027951949753752,2,5
2024-01-01,Evening,Monday,29.7604,-95.3698,Industrial,4,10000,50000,Assault,3,23,0,25.386565121995016,Foggy,New Year,Commercial,4.673406612465044,6,9.53705447002013,6,5
2024-08-10,Night,Saturday,40.7128,-74.006,Downtown,3,25000,60000,Vandalism,3,25,0,25.82055641747447,Foggy,None,Residential,8.305749579277492,8,0.7861798170513701,19,9
2024-01-06,Afternoon,Saturday,41.8781,-87.6298,Urban,5,15000,55000,Robbery,2,45,1,33.330207118532556,Clear,None,Highways,10.009390260497675,10,2.1699532914334863,15,7
2024-09-18,Afternoon,Wednesday,40.7128,-74.006,Downtown,3,25000,60000,Fraud,2,16,0,15.840956439090998,Foggy,None,Parks,8.561562670779,7,1.0442957554406265,9,6
2024-01-17,Evening,Wednesday,29.7604,-95.3698,Industrial,4,10000,50000,Assault,8,46,0,14.82976107579664,Rainy,None,Parks,6.682630521191537,5,8.451792520287096,11,2
2024-01-01,Morning,Monday,40.7128,-74.006,Downtown,3,25000,60000,Vandalism,6,5,1,34.61164219395552,Rainy,New Year,Commercial,6.907813666109014,3,1.9151477693503327,17,3
2024-03-21,Night,Thursday,34.0522,-118.2437,Suburban,7,5000,75000,Theft,1,7,0,10.895973852580587,Rainy,None,Commercial,3.946013055504054,2,3.151151864263888,0,9
2024-09-21,Afternoon,Saturday,40.7128,-74.006,Downtown,3,25000,60000,Robbery,8,36,0,34.09235804344672,Foggy,None,Residential,9.326416795489274,3,0.18256131864755903,19,5
2024-10-08,Morning,Tuesday,29.7604,-95.3698,Industrial,4,10000,50000,Fraud,8,33,0,14.110168057291443,Clear,None,Residential,6.844577526737289,10,9.094302012268304,0,7
2024-10-14,Night,Monday,40.7128,-74.006,Downtown,3,25000,60000,Theft,9,8,0,-2.524590546341332,Foggy,None,Parks,5.3462261776292594,6,8.942685340072567,0,6
2024-08-23,Morning,Friday,40.7128,-74.006,Downtown,3,25000,60000,Robbery,2,26,1,34.68916776188059,Rainy,None,Highways,8.324420806727021,4,7.211903220315563,1,4
2024-03-31,Afternoon,Sunday,41.8781,-87.6298,Urban,5,15000,55000,Vandalism,7,13,0,23.877741842639274,Foggy,None,Residential,10.362997421026702,2,4.8988611627958685,10,1
2024-02-28,Afternoon,Wednesday,34.0522,-118.2437,Suburban,7,5000,75000,Robbery,3,26,0,12.08054032479022,Clear,None,Parks,4.477581279817913,5,2.7642538368291416,0,7
2024-11-11,Evening,Monday,29.7604,-95.3698,Industrial,4,10000,50000,Robbery,9,25,1,10.800645921258045,Clear,None,Commercial,7.060239739313474,8,8.313555410063401,8,3
2024-08-03,Night,Saturday,29.7604,-95.3698,Industrial,4,10000,50000,Robbery,1,38,1,6.118934671437351,Clear,None,Parks,5.135072548880741,10,4.800063832208961,6,4
2024-01-30,Night,Tuesday,29.7604,-95.3698,Industrial,4,10000,50000,Fraud,8,8,1,26.332033253612927,Clear,None,Residential,5.57990103614136,7,0.41140534040396937,16,9
2024-11-29,Morning,Friday,41.8781,-87.6298,Urban,5,15000,55000,Theft,7,39,0,20.968913795802223,Foggy,None,Residential,9.370706558435131,6,1.8675437256821272,7,5
2024-06-29,Night,Saturday,40.7128,-74.006,Downtown,3,25000,60000,Burglary,7,7,0,29.692425360144476,Clear,None,Highways,7.14600370384164,6,1.7311039928888687,14,8
2024-10-07,Evening,Monday,29.7604,-95.3698,Industrial,4,10000,50000,Theft,6,10,0,30.469761867405808,Clear,None,Parks,6.02135736229873,5,2.306829211760479,10,8
2024-05-28,Evening,Tuesday,29.7604,-95.3698,Industrial,4,10000,50000,Vandalism,2,7,1,22.240375135018624,Rainy,None,Residential,6.766689975565711,6,3.0323726384347305,17,7
2024-06-11,Evening,Tuesday,41.8781,-87.6298,Urban,5,15000,55000,Vandalism,9,29,0,25.48841791373337,Clear,None,Commercial,7.287540625330719,6,3.6542607100863274,9,7
2024-03-12,Night,Tuesday,40.7128,-74.006,Downtown,3,25000,60000,Vandalism,2,15,0,8.039879553209968,Clear,None,Commercial,9.805871656959978,7,0.36242758784816254,9,2
2024-02-20,Afternoon,Tuesday,41.8781,-87.6298,Urban,5,15000,55000,Fraud,9,27,0,9.910469809689415,Rainy,None,Residential,6.835859964592198,6,4.009868721986459,6,5
2024-05-25,Evening,Saturday,29.7604,-95.3698,Industrial,4,10000,50000,Theft,7,44,1,1.3360623646145298,Clear,None,Parks,5.276038774362381,8,4.084081293122384,5,6
2024-12-21,Night,Saturday,34.0522,-118.2437,Suburban,7,5000,75000,Assault,2,40,0,25.158864518724084,Rainy,None,Parks,4.099381586736738,5,8.665550839517179,18,1
2024-09-10,Morning,Tuesday,41.8781,-87.6298,Urban,5,15000,55000,Theft,7,21,0,14.902140504691694,Foggy,None,Parks,9.08742528067593,5,3.0948122048408395,16,9
2024-08-06,Morning,Tuesday,40.7128,-74.006,Downtown,3,25000,60000,Burglary,3,13,1,28.30974360192655,Rainy,None,Commercial,8.448818583391006,4,9.266752315064961,7,5
2024-10-09,Evening,Wednesday,29.7604,-95.3698,Industrial,4,10000,50000,Vandalism,6,12,0,26.966294132296348,Clear,None,Commercial,4.3114846649815775,5,0.48578189138553585,1,6
2024-07-27,Morning,Saturday,29.7604,-95.3698,Industrial,4,10000,50000,Vandalism,6,27,0,22.211035705803205,Rainy,None,Parks,7.185931381239676,1,5.907716735812563,10,1
2024-07-21,Evening,Sunday,34.0522,-118.2437,Suburban,7,5000,75000,Theft,5,30,0,11.886012375110965,Clear,None,Commercial,5.31718909371222,0,1.525027225696275,8,8
2024-03-26,Morning,Tuesday,41.8781,-87.6298,Urban,5,15000,55000,Theft,3,7,0,8.614811661409036,Clear,None,Highways,6.379130944922605,10,4.596092912678631,0,3
2024-02-27,Morning,Tuesday,34.0522,-118.2437,Suburban,7,5000,75000,Assault,1,25,0,24.562202659573945,Foggy,None,Highways,4.58195473428468,3,9.397221971358201,8,4
2024-02-10,Morning,Saturday,34.0522,-118.2437,Suburban,7,5000,75000,Vandalism,5,33,0,21.611883566184403,Rainy,None,Commercial,3.913768813815329,9,1.7809437128895003,7,7
2024-12-13,Night,Friday,34.0522,-118.2437,Suburban,7,5000,75000,Burglary,9,33,1,1.3525950197608205,Rainy,None,Commercial,5.9390172398912275,6,6.017558498154379,19,2
2024-03-02,Morning,Saturday,40.7128,-74.006,Downtown,3,25000,60000,Robbery,3,27,0,-2.425274838844791,Foggy,None,Parks,5.492110242580523,2,5.014864973702118,14,9
2024-05-31,Evening,Friday,29.7604,-95.3698,Industrial,4,10000,50000,Theft,7,20,0,24.062666438488044,Clear,None,Highways,6.748558221308123,9,3.636289021141051,4,2
2024-12-10,Afternoon,Tuesday,29.7604,-95.3698,Industrial,4,10000,50000,Robbery,7,25,0,28.055332654441244,Clear,None,Commercial,6.526798911796463,8,1.4906698940910337,16,5
2024-11-22,Morning,Friday,40.7128,-74.006,Downtown,3,25000,60000,Vandalism,9,43,1,-2.5950718441460907,Clear,None,Commercial,9.850154857700023,5,3.8581675950803684,4,7
2024-11-01,Evening,Friday,34.0522,-118.2437,Suburban,7,5000,75000,Vandalism,9,49,0,4.294617477540692,Foggy,None,Residential,5.192612132037937,7,0.5212395345092151,0,1
2024-03-11,Evening,Monday,34.0522,-118.2437,Suburban,7,5000,75000,Assault,2,4,0,-1.6311377926100779,Rainy,None,Commercial,4.850229319252142,8,6.361951337737547,6,3
2024-06-09,Afternoon,Sunday,41.8781,-87.6298,Urban,5,15000,55000,Robbery,8,17,0,11.695546537160503,Clear,None,Highways,7.561110828852689,9,5.354010539320505,11,6
2024-08-21,Night,Wednesday,29.7604,-95.3698,Industrial,4,10000,50000,Fraud,2,47,1,14.029667237591589,Foggy,None,Residential,6.61188207162253,0,1.601956127754885,15,8
2024-05-04,Afternoon,Saturday,40.7128,-74.006,Downtown,3,25000,60000,Robbery,2,9,0,-0.7672964090949064,Rainy,None,Parks,9.071754475656835,3,6.683225763214933,1,7
2024-11-12,Evening,Tuesday,40.7128,-74.006,Downtown,3,25000,60000,Vandalism,4,34,0,7.7722692334658525,Rainy,None,Commercial,9.58981723342858,8,3.0877323704666173,14,5
